,species_guess,location
224,mésange à tête noire,Laval
225,sittelle à poitrine blanche,Laval
226,pic mineur,Laval
227,pic mineur,Laval
228,cardinal rouge,Laval
229,staphylier à trois folioles,Laval
230,cardinal rouge,Laval
231,merle d'amérique,Laval
232,mésange à tête noire,Laval
233,sittelle à poitrine blanche,Laval
234,pic mineur,Laval
235,pic mineur,Laval
236,jaseur boréal,Laval
237,jaseur boréal,Laval
238,piranga vermillon,Laval
239,chardonneret jaune,Laval
240,bruant hudsonien,Laval
241,sittelle à poitrine blanche,Laval
242,pic chevelu,Laval
243,tourterelle triste,Laval
244,pic mineur,Laval
245,cardinal rouge,Laval
246,pic mineur,Laval
247,mésange à tête noire,Laval
248,sittelle à poitrine blanche,Laval
249,sarcelle d'hiver,Laval
250,canard mandarin,Laval
251,canard branchu,Laval
252,grand corbeau,Laval
253,bruant hudsonien,Laval
254,tourterelle triste,Laval
255,grand corbeau,Laval
256,canard colvert,Laval
257,moineau domestique,Laval
258,moineau domestique,Laval
259,bruant à gorge blanche,Laval
260,mésange à tête noire,Laval
261,cardinal rouge,Laval
262,cardinal rouge,Laval
263,junco ardoisé,Laval
264,tyran tritri,Laval
265,leucorrhine mouchetée,Laval
266,épithèque canine,Laval
267,canada goose,Laval
268,feral pigeon,Laval
269,mallard,Laval
